,Run ID,Person ID,Time of Infection (Mins),Datetime of Sim Start,Datetime of When Infected,Datetime if Sim End
63,0,63,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
64,0,64,0.7,03/06/2021 13:26:00,03/06/2021 13:26:42,03/06/2021 13:27:00
65,0,65,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
66,0,66,0.99,03/06/2021 13:26:00,03/06/2021 13:27:00,03/06/2021 13:27:00
67,0,67,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
68,0,68,0.9,03/06/2021 13:26:00,03/06/2021 13:26:54,03/06/2021 13:27:00
69,0,69,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
70,0,70,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
71,0,71,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
72,0,72,0.86,03/06/2021 13:26:00,03/06/2021 13:26:52,03/06/2021 13:27:00
73,0,73,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
74,0,74,0.55,03/06/2021 13:26:00,03/06/2021 13:26:33,03/06/2021 13:27:00
75,0,75,0.87,03/06/2021 13:26:00,03/06/2021 13:26:53,03/06/2021 13:27:00
76,0,76,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
77,0,77,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
78,0,78,1.0,03/06/2021 13:26:00,03/06/2021 13:27:00,03/06/2021 13:27:00
79,0,79,0.68,03/06/2021 13:26:00,03/06/2021 13:26:41,03/06/2021 13:27:00
80,0,80,1.0,03/06/2021 13:26:00,03/06/2021 13:27:00,03/06/2021 13:27:00
81,0,81,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
82,0,82,0.92,03/06/2021 13:26:00,03/06/2021 13:26:56,03/06/2021 13:27:00
83,0,83,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
84,0,84,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
85,0,85,1.0,03/06/2021 13:26:00,03/06/2021 13:27:00,03/06/2021 13:27:00
86,0,86,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
87,0,87,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
88,0,88,0.88,03/06/2021 13:26:00,03/06/2021 13:26:53,03/06/2021 13:27:00
89,0,89,1.0,03/06/2021 13:26:00,03/06/2021 13:27:00,03/06/2021 13:27:00
90,0,90,0.35,03/06/2021 13:26:00,03/06/2021 13:26:21,03/06/2021 13:27:00
91,0,91,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
92,0,92,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
93,0,93,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
94,0,94,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
95,0,95,0.55,03/06/2021 13:26:00,03/06/2021 13:26:33,03/06/2021 13:27:00
96,0,96,1.0,03/06/2021 13:26:00,03/06/2021 13:27:00,03/06/2021 13:27:00
97,0,97,0.79,03/06/2021 13:26:00,03/06/2021 13:26:48,03/06/2021 13:27:00
98,0,98,N/A,03/06/2021 13:26:00,N/A,03/06/2021 13:27:00
99,0,99,1.0,03/06/2021 13:26:00,03/06/2021 13:27:00,03/06/2021 13:27:00
0,1,0,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
1,1,1,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
2,1,2,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
3,1,3,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
4,1,4,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
5,1,5,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
6,1,6,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
